id,title,body,folder,tags,language,created_at,updated_at
,"List all files, including hidden ones, in long format",ls -la,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Show the current working directory,pwd,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Change into a directory,cd path/to/dir,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Copy a file to a new location,cp source.txt destination.txt,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Move or rename a file,mv old_name.txt new_name.txt,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Remove a file,rm file.txt,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Remove a directory and everything inside it,rm -rf directory_name,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Create a new empty directory,mkdir new_folder,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Search recursively for a text pattern inside files,"grep -r ""search_term"" .",Sample Snippets/Bash Terminal,sample|bash,bash,,
,Find files by name under a directory tree,"find . -name ""*.py""",Sample Snippets/Bash Terminal,sample|bash,bash,,
,Show the last 50 lines of a file and keep watching it for new lines,tail -f -n 50 logfile.log,Sample Snippets/Bash Terminal,sample|bash,bash,,
,"Count the lines, words, and characters in a file",wc -l -w -c file.txt,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Display disk space usage for the current filesystem,df -h,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Show how much disk space a directory is using,du -sh directory_name,Sample Snippets/Bash Terminal,sample|bash,bash,,
,List currently running processes,ps aux,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Kill a process by its process ID,kill -9 12345,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Download a file from a URL,curl -O https://example.com/file.zip,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Chain commands so the second only runs if the first succeeds,command1 && command2,Sample Snippets/Bash Terminal,sample|bash,bash,,
,"Redirect a command's output into a file, overwriting it",command > output.txt,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Compress a directory into a tar.gz archive,tar -czvf archive.tar.gz directory_name,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Extract a tar.gz archive,tar -xzvf archive.tar.gz,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Make a script executable,chmod +x script.sh,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Change file ownership,chown user:group file.txt,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Show all environment variables,printenv,Sample Snippets/Bash Terminal,sample|bash,bash,,
,Set an environment variable for the current shell session,"export MY_VAR=""value""",Sample Snippets/Bash Terminal,sample|bash,bash,,
